Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788481768,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788481769,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788481770,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788481771,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788481772,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788481773,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788481774,20,,Aggregated,0.000000,0.000000,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,1,0,5566.5138000040315,5566.5138000040315,5566.5138000040315,5566.5138000040315,711.0
1788481775,20,,Aggregated,0.000000,0.000000,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,1,0,5566.5138000040315,5566.5138000040315,5566.5138000040315,5566.5138000040315,711.0
1788481776,20,,Aggregated,0.000000,0.000000,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,2,0,5600,6379.452250002942,5566.5138000040315,7192.390700001852,711.0
1788481777,20,,Aggregated,0.142857,0.000000,7200,7200,8800,8800,8800,8800,8800,8800,8800,8800,8800,3,0,7200,7199.216400001508,5566.5138000040315,8838.744699998642,711.0
1788481778,20,,Aggregated,0.142857,0.000000,7200,7200,8800,8800,8800,8800,8800,8800,8800,8800,8800,3,0,7200,7199.216400001508,5566.5138000040315,8838.744699998642,711.0
1788481779,20,,Aggregated,0.250000,0.000000,8800,8800,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,0,7200,7999.178500002017,5566.5138000040315,10399.064800003543,711.0
1788481780,20,,Aggregated,0.300000,0.000000,8800,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,5,0,8800,8801.384880000842,5566.5138000040315,12010.21039999614,711.0
1788481781,20,,Aggregated,0.300000,0.000000,8800,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,5,0,8800,8801.384880000842,5566.5138000040315,12010.21039999614,711.0
1788481782,20,,Aggregated,0.400000,0.000000,8800,8800,10000,10000,12000,12000,12000,12000,12000,12000,12000,6,0,7200,8284.606500000033,5566.5138000040315,12010.21039999614,711.0
1788481783,20,,Aggregated,0.500000,0.000000,7200,8800,10000,12000,13000,13000,13000,13000,13000,13000,13000,9,0,7200,8058.547388889969,4351.759099998162,13090.45970000443,711.0
1788481784,20,,Aggregated,0.500000,0.000000,8800,12000,12000,12000,13000,15000,15000,15000,15000,15000,15000,11,0,8800,9084.430200001489,4351.759099998162,14909.21710000839,711.0
1788481785,20,,Aggregated,0.700000,0.000000,10000,12000,13000,13000,15000,15000,15000,15000,15000,15000,15000,13,0,10000,9844.084723077965,4351.759099998162,14909.21710000839,711.0
1788481786,20,,Aggregated,0.900000,0.000000,12000,13000,13000,15000,15000,15000,15000,15000,15000,15000,15000,14,0,10000,10224.884664286426,4351.759099998162,15175.28389999643,711.0
1788481787,20,,Aggregated,0.900000,0.000000,12000,13000,13000,15000,15000,15000,15000,15000,15000,15000,15000,14,0,10000,10224.884664286426,4351.759099998162,15175.28389999643,711.0
1788481788,20,,Aggregated,1.100000,0.000000,12000,13000,15000,15000,15000,19000,19000,19000,19000,19000,19000,15,0,12000,10789.024139999916,4351.759099998162,18686.97679998877,711.0
1788481789,20,,Aggregated,1.200000,0.000000,12000,13000,15000,15000,18000,19000,19000,19000,19000,19000,19000,16,0,12000,11253.990162500486,4351.759099998162,18686.97679998877,711.0
1788481790,20,,Aggregated,1.200000,0.000000,12000,13000,15000,15000,18000,19000,19000,19000,19000,19000,19000,16,0,12000,11253.990162500486,4351.759099998162,18686.97679998877,711.0
1788481791,20,,Aggregated,1.100000,0.000000,12000,15000,15000,15000,19000,22000,22000,22000,22000,22000,22000,17,0,12000,11875.357123530086,4351.759099998162,21817.228500003694,711.0
1788481792,20,,Aggregated,1.100000,0.000000,12000,15000,15000,15000,19000,22000,22000,22000,22000,22000,22000,17,0,12000,11875.357123530086,4351.759099998162,21817.228500003694,711.0
1788481793,20,,Aggregated,1.200000,0.000000,13000,15000,15000,18000,22000,22000,22000,22000,22000,22000,22000,18,0,12000,12460.573855555493,4351.759099998162,22409.258299987414,711.0
1788481794,20,,Aggregated,1.200000,0.000000,13000,15000,18000,19000,22000,25000,25000,25000,25000,25000,25000,19,0,13000,13121.03270526323,4351.759099998162,25009.29200000246,711.0
1788481795,20,,Aggregated,1.200000,0.000000,13000,15000,18000,19000,22000,25000,25000,25000,25000,25000,25000,19,0,13000,13121.03270526323,4351.759099998162,25009.29200000246,711.0
1788481796,20,,Aggregated,0.900000,0.000000,13000,15000,19000,22000,25000,26000,26000,26000,26000,26000,26000,20,0,13000,13749.509684999794,4351.759099998162,25690.57229999453,711.0
1788481797,20,,Aggregated,0.700000,0.000000,13000,15000,19000,22000,25000,26000,28000,28000,28000,28000,28000,21,0,13000,14443.591371428089,4351.759099998162,28325.225099993986,711.0
1788481798,20,,Aggregated,0.700000,0.000000,13000,15000,19000,22000,25000,26000,28000,28000,28000,28000,28000,21,0,13000,14443.591371428089,4351.759099998162,28325.225099993986,711.0
1788481799,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481800,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481801,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481803,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481804,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481805,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481806,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481807,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481808,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481809,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481810,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481811,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481812,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481813,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481814,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481815,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481816,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481817,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481818,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481819,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481820,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481821,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481822,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481823,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481824,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481825,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481826,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
1788481827,20,,Aggregated,0.600000,0.000000,15000,18000,22000,22000,26000,28000,28000,28000,28000,28000,28000,22,0,13000,15056.499140908603,4351.759099998162,28325.225099993986,711.0
